peak_amplitude,energy,step_duration,rise_time,fall_time,zero_crossings,std,rms,skewness,kurtosis,dominant_freq,spectral_centroid,spectral_entropy,spectral_bandwidth,low_freq_ratio,spike_count,firing_rate,isi_mean,isi_std,isi_cv,first_spike_latency
543.5350931437997,9815684.955327671,1.0,0.0,0.01,100,221.4852908110379,221.53650890234402,0.018205944243809013,-0.9220555328440301,50.0,49.615370185229615,2.1048512948863856,10.487586974813873,0.11496845996933848,85,85.0,0.011785714285714285,0.0030514299090419793,0.2589092044035619,0.0
521.7305753034109,19261431.830555964,1.0,0.0,0.01,54,310.3309351700326,310.33394779298607,-0.0021861328295541002,-1.4758074691684218,27.0,29.62116185665176,1.838723767481617,10.538624508312799,1.8318359450627795,90,90.0,0.011123595505617978,0.002086986024832215,0.1876179355657244,0.0
138.63947338042206,1307590.9494520894,1.0,0.015,0.025,30,80.85740566076275,80.85762021764212,0.011734305562062442,-1.4445011679149962,15.0,26.13280120984045,2.8089741945116677,20.39174494656602,1.510791603360258,89,89.0,0.01125,0.0021650635094610992,0.19245008972987548,0.005
372.1147454298,12276898.296559682,1.0,0.005,0.01,57,247.71911850470795,247.75893825006276,-0.008905007399046296,-1.4868008209438963,29.0,31.844694096328453,2.067103482345637,11.855841758998091,1.7549932762040736,91,91.0,0.011055555555555556,0.002172357199557463,0.19649462106549917,0.0
535.5838250945836,21446407.417555865,1.0,0.935,0.02,35,327.343973210737,327.46303163529666,-0.04647116055158893,-1.4663294216849128,18.0,21.835779220367936,1.912066071214961,13.676900291873082,1.813208424813888,91,91.0,0.011055555555555556,0.0020404852969118864,0.18456650926841184,0.0
156.49368573515213,1410492.1189722377,1.0,0.97,0.015,46,83.97568236096583,83.97892946960677,-0.003780103069785864,-1.4169406380624097,23.0,32.22338182708249,2.9285525986947474,18.68477019072892,1.4889487348059158,89,89.0,0.011193181818181817,0.002260621166372474,0.2019641245084038,0.005
368.14184304267656,8593405.418303028,1.0,0.0,0.01,78,207.28173876029405,207.28489354392215,-0.0036067862698137515,-1.473766768359711,39.0,40.69128002293015,2.168332926474785,10.53363774457161,0.10365372192788483,91,91.0,0.011055555555555556,0.0020404852969118864,0.18456650926841184,0.0
261.36337737782515,4492784.981783673,1.0,0.0,0.055,43,149.86978599622327,149.87970145726328,-0.009826935621506867,-1.439370609481396,21.0,26.45166493947128,2.207697332818863,15.561079527512879,1.7226691373973089,89,89.0,0.01125,0.0022925273865718214,0.20378021213971745,0.005
488.7619501063276,13801925.249093967,1.0,0.0,0.015,39,262.56991787247506,262.69683333734696,-0.010203072771317876,-1.460819986884546,20.0,23.72777395786066,2.040956175845064,13.285921610634418,1.7948949367109754,91,91.0,0.011055555555555556,0.002172357199557463,0.19649462106549917,0.0
512.7353005901762,19723077.755930733,1.0,0.51,0.03,41,313.9784099691946,314.0308723352748,-0.03747720443704482,-1.456136528174974,20.0,23.099443116957314,1.8547176575168738,11.946802775648752,1.834272524637351,91,91.0,0.011055555555555556,0.002172357199557463,0.19649462106549917,0.0
