peak_amplitude,energy,step_duration,rise_time,fall_time,zero_crossings,std,rms,skewness,kurtosis,dominant_freq,spectral_centroid,spectral_entropy,spectral_bandwidth,low_freq_ratio,spike_count,firing_rate,isi_mean,isi_std,isi_cv,first_spike_latency
146.93613412830214,1568899.9792206225,1.0,0.01,-0.015,33,88.53098087542095,88.56918141262858,-0.026090019554439927,-1.453923340754307,17.0,27.812980210634542,2.653281481073661,21.74872730147123,1.5378020822667275,89,89.0,0.01125,0.0021650635094610997,0.19245008972987554,0.005
573.1117960379862,12623505.783262301,1.0,0.0,0.01,88,251.19847564260567,251.23202207583233,-0.01422993648733361,-1.4317511032659702,44.0,45.068275269092275,2.1333610317318463,10.110333308892166,0.09083444573992024,87,87.0,0.011453488372093023,0.0022704214174147272,0.19822968720575285,0.005
283.71087480167904,6654811.942756375,1.0,0.045,0.07,31,182.38913676140916,182.41178611532172,-0.037262623070578836,-1.4617912586322535,15.0,21.393561500530154,2.1609669376077876,17.56010057848159,1.7363800432087861,89,89.0,0.01125,0.0021650635094610997,0.19245008972987554,0.005
281.4185577729115,4343484.432520581,1.0,0.0,0.01,80,147.3621390820835,147.36832143511342,-0.006362600596439689,-1.4671864764608114,41.0,41.89312701224257,2.317427729533793,10.589967132343416,0.1155438794362667,89,89.0,0.011193181818181817,0.0021312499242626217,0.19040608460417333,0.005
189.00245221296683,2683080.2762901695,1.0,0.59,0.01,41,115.78589862876508,115.82487375970175,-0.023053703460830688,-1.4744245293577165,21.0,28.903485024883313,2.57309777032922,18.12186187528087,1.5926071588356776,90,90.0,0.011123595505617978,0.0020869860248322165,0.1876179355657245,0.005
245.49718253921375,2455966.7747807354,1.0,0.0,0.015,59,110.80840719502055,110.81441185109307,-0.024160966488263904,-1.3823075137465917,30.0,35.13141348381117,2.6160463347580105,15.4364680918567,0.97452750523677,88,88.0,0.011379310344827587,0.0022347381718647802,0.19638608176993522,0.005
329.5341439103749,8117860.902054268,1.0,0.92,0.025,27,201.34339553800635,201.4678746358122,-0.06040793726785533,-1.48159277982356,14.0,20.617182967491406,2.2498630085188847,17.571050565379405,1.7008479215560155,90,90.0,0.011123595505617978,0.002086986024832217,0.18761793556572454,0.0
524.0976354185,20221573.925774403,1.0,0.86,0.03,41,317.92419448061736,317.9746367697776,-0.022345035113870246,-1.4630313739967211,20.0,23.41265632151281,1.8394976214971595,12.346964844363551,1.8115998904534492,90,90.0,0.011123595505617978,0.0022175004894371417,0.19935105410091475,0.0
302.03744674975275,6039982.843919357,1.0,0.94,0.02,41,173.73438601477562,173.78122516427598,-0.043810201687088386,-1.4490574456365424,20.0,25.227381851528364,2.157575293933136,15.310458557442104,1.7261233490377892,89,89.0,0.011193181818181817,0.0021312499242626217,0.19040608460417333,0.005
394.71774897637044,9416419.217610443,1.0,0.0,0.02,50,216.98363276214337,216.98409178567036,-0.028193365399905888,-1.4577440204286243,25.0,29.178619020488117,2.1948004553281044,12.865424084004296,1.7522443097537834,89,89.0,0.01125,0.0022925273865718183,0.2037802121397172,0.005
