peak_amplitude,energy,step_duration,rise_time,fall_time,zero_crossings,std,rms,skewness,kurtosis,dominant_freq,spectral_centroid,spectral_entropy,spectral_bandwidth,low_freq_ratio,spike_count,firing_rate,isi_mean,isi_std,isi_cv,first_spike_latency
206.4888188998037,1639499.749276157,1.0,0.0,0.01,94,90.53251950286425,90.54003946531493,-0.017425416053684837,-1.3951043439596142,47.0,47.90803805545161,2.6686683341158353,13.04107252576404,0.15018248081457747,89,89.0,0.01125,0.0021650635094610966,0.19245008972987526,0.005
275.1628700249957,5769754.460017544,1.0,0.4,0.02,28,169.84602661182265,169.84926346642695,-0.012758227409392631,-1.4712908157874085,14.0,20.57650786177347,2.2518967763729356,16.627780522798655,1.7359111712912245,89,89.0,0.01119318181818182,0.002260621166372476,0.20196412450840395,0.0
477.8176687826338,16090672.906602485,1.0,0.935,0.015,38,283.534219859119,283.6430230642249,-0.040568081260537486,-1.4575380467067274,19.0,22.736783659816346,1.9708623462516932,13.254395400742885,1.8017682027429684,89,89.0,0.011193181818181817,0.0021312499242626217,0.19040608460417333,0.005
195.43299369765197,2679560.045485749,1.0,0.075,0.015,94,115.74674552421769,115.7488670675819,-0.0019657754326648713,-1.4587994213251219,47.0,48.429907299464745,2.5416769587503465,12.517773203803598,0.1375165537710701,89,89.0,0.011193181818181817,0.0021312499242626217,0.19040608460417333,0.005
440.9232016466657,10951335.51524861,1.0,0.0,0.015,80,233.99988689839785,234.0014478080062,-0.01627115332731148,-1.4704477047638371,41.0,41.38718962096417,2.144435351420489,9.86819249955532,0.10407381365360388,90,90.0,0.011123595505617978,0.0020869860248322165,0.1876179355657245,0.005
437.0034960754854,17628886.664605558,1.0,0.005,-0.035,46,296.8880901680856,296.8912819922939,0.001787204662955908,-1.4831768826131584,23.0,26.316795951625007,1.8872938566400437,12.054307572811704,1.8161572563247903,89,89.0,0.011193181818181817,0.0021312499242626204,0.19040608460417321,0.005
238.30456864994326,4497643.497126186,1.0,0.13,-0.72,56,149.9604591661276,149.96071980899177,-0.001495813363261072,-1.4858522356261215,28.0,32.603559711169915,2.3274176271926277,13.71650898002553,1.6601373487829107,89,89.0,0.01119318181818182,0.002131249924262621,0.19040608460417321,0.005
620.7064208743777,23291740.220068,1.0,0.0,0.005,98,341.2483056362515,341.2604593273882,-0.005133229061640754,-1.497545975602207,49.0,49.309751105142965,1.9282572705113812,7.967113157021226,0.057065369710237464,91,91.0,0.011055555555555556,0.0020404852969118864,0.18456650926841184,0.0
608.8387696438003,18615494.133989368,1.0,0.0,0.01,99,305.01705340822986,305.086005365613,0.011060205917430064,-1.3139052844015997,50.0,50.05408102021067,1.8523444143598844,8.335891867299509,0.05512631463425615,91,91.0,0.011055555555555556,0.0020404852969118864,0.18456650926841184,0.0
239.25347797771695,4823533.932695024,1.0,0.055,-0.66,25,155.17734025997873,155.29864668912964,-0.07286704549480442,-1.4669129116313064,13.0,20.693949021547446,2.427483012439905,18.43837002777185,1.6697639672809677,89,89.0,0.01125,0.0022925273865718227,0.2037802121397176,0.005
522.9337506417596,23136658.74056253,1.0,0.09,0.01,36,340.004858588553,340.1224686826977,-0.03436752813898641,-1.4917509434469005,19.0,22.439674108490955,1.9528559762731268,13.497737144288855,1.8262970101289455,90,90.0,0.011123595505617978,0.0020869860248322165,0.1876179355657245,0.005
